45	Fight Club	Chuck Palahniuk	https://cdn.shopify.com/s/files/1/0434/1845/2120/files/zisepi.pdf https://media.neliti.com/media/publications/191706-EN-book-review-of-fight-club-written-by-chu.pdf https://www.diva-portal.org/smash/get/diva2:784390/FULLTEXT01.pdf
46	The Wasp Factory	Iain Banks	http://pjes.edu.pl/start/wp-content/uploads/2017/06/Katarzyna-Fetli%C5%84ska-Cognitive-Sciences-and-Iain-Banks%E2%80%99s-Novels-The-Wasp-Factory-and-Use-of-Weapons.pdf https://theses.cz/id/69gzuo/Bakal_sk_prce_-_Barbora_Ko__arov.pdf https://francis-press.com/uploads/papers/sDfJnpalzQHtAUjv4mJyubDtPFVWjawA6ZwCwELr.pdf
47	Water for Elephants	Sara Gruen	https://books-library.online/files/books-library.online-12272245Lu9B2.pdf http://mtlaurel.lib.nj.us/readers/water4.pdf https://www.ryde.nsw.gov.au/files/assets/public/library/community-book-club/cbc_water-for-elephants.pdf
48	Sense and Sensibility	Jane Austen	https://www.planetebook.com/free-ebooks/sense-and-sensibility.pdf http://www.eajournals.org/wp-content/uploads/Sense-Versus-Sensibility-in-Jane-Austen%E2%80%99s-Sense-and-Sensibility.pdf https://link.springer.com/content/pdf/10.1007%2F978-1-349-06100-6_3.pdf
49	Invisible Monsters	Chuck Palahniuk	http://institucional.us.es/revistas/estudios/18/5.rese%C3%B1a%20garrig%C3%B3s%20rev.pdf http://ads.baa.uk.com/chuck_palahniuk_invisible_monsters.pdf https://core.ac.uk/download/pdf/232828751.pdf
50	Midnight Sun [2008 Draft]	Stephenie Meyer	http://behtek.com/KB/MidnightSun.pdf http://community.hlb.com.my/midnight-sun-rough-draft-stephenie-meyer.pdf http://www.ijaema.com/gallery/8-august-2207.pdf
51	Factotum	Charles Bukowski	https://libcom.org/files/Factotum%20-%20Charles%20Bukowski.pdf https://jadwdassa.firebaseapp.com/bb436/factotum-by-charles-bukowski-0876852630.pdf https://www.hofstra.edu/pdf/academics/colleges/hclas/cld/cld_rlr_sp07_hollywooods_harrison.pdf
52	Trainspotting	Irvine Welsh	http://www.gla.ac.uk/media/media_128989_en.pdf https://is.muni.cz/th/399446/ff_b/BA_Thesis_Zikmundova.pdf https://www.raindance.org/scripts/Trainspotting%20script.pdf
53	Requiem for a Dream	Hubert Selby Jr.	http://begin-english.ru/download/files/9/0/f/c/7e0cea74b7.pdf http://www.raindance.co.uk/site/picture/upload/Requiem%20For%20A%20Dream%20%282000%29%281%29.pdf https://www.ucm.es/data/cont/docs/119-2019-07-06-7.1.9%20P%C3%A9rez%20Delgado.pdf
54	Lord of the Flies	William Golding	https://salempress.com/Media/SalemPress/samples/ci_lord_of_the_flies_pgs.pdf http://www.kkoworld.com/kitablar/uilyam_qoldinq_milchekler_krali-eng.pdf https://files.eric.ed.gov/fulltext/EJ1082261.pdf
55	The Infernal Devices, Clockwork Angel	Cassandra Clare	http://ads.baa.uk.com/ads_1416975861_clockwork_angel_the_infernal_devices.pdf http://ads.baa.uk.com/ads_1406330345_the_infernal_devices_1_clockwork_angel.pdf http://www.ftik.usm.ac.id/A699092/amz-1406330345-the-infernal-devices-1-clockwork-angel.pdf
56	Lunar Park	Bret Easton Ellis	http://ads.baa.uk.com/ads_330439596_lunar_park.pdf http://ads.baa.uk.com/ads_B004FV4T6G_lunar_park_english_edition.pdf http://www.lunar-park.com/assets/lunar-park-chapter-one.pdf
57	A Thousand Splendid Suns	Khaled Hosseini	https://www.penguin.com/static/pdf/teachersguides/ThousandSplendidSunsTG.pdf http://1.droppdf.com/files/TrPfN/a-thousand-splendid-suns-khaled-hosseini.pdf https://www.bccls.org/BookClubBooks/ThousandSuns.pdf
58	The Fault in Our Stars	John Green	https://books-library.online/files/books-library.online-12292230Vr3R6.pdf https://www.penguin.com.au/content/resources/The%20Fault%20In%20Our%20Stars.pdf https://www.blindbrook.org/cms/lib/NY01913277/Centricity/Domain/130/Book%20Reviews/thefaultinourstarssammym2014.pdf
59	Skagboys	Irvine Welsh	http://persepolis.wisc.edu/skagboys_irvine_welsh.pdf https://static1.squarespace.com/static/572d5b1722482e952aab8587/t/573f4a1fd210b8df6cbd135b/1463765535891/Trainspotting.pdf http://ac.dbmi.hms.harvard.edu/skagboys_irvine_welsh.pdf
60	Mistress Suffragette	Diana   Forbes	https://dianaforbesnovels.com/wp-content/uploads/2017/06/MistressSuffragette_Reader_Views.pdf https://dianaforbesnovels.com/wp-content/uploads/2018/03/DRAFT-PR-Diana-Forbes-Mistress-Suffragette.pdf http://3dd6e30b78bf51f21769cfdcbbabf013.sihr.org.uk/mistress-suffragette-diana-forbes.pdf
61	Darkest Powers, The Summoning	Kelley Armstrong	http://www.ftik.usm.ac.id/C3BC63C/amz-1907410066-the-summoning-book-1-of-the-darkest-powers-series.pdf http://gpl.org/documents/YA/Twilight_ReadaLikes.pdf http://ikydyqim.files.wordpress.com/2014/07/the-darkest-powers-series-book-1-the-summoning.pdf
62	Millennium, The Girl with the Dragon Tattoo	Stieg Larsson	https://cdn.shopify.com/s/files/1/0457/1290/0263/files/stieg_larsson_the_girl_with_the_dragon_tattoo.pdf https://quickmelotech.files.wordpress.com/2020/01/the-girl-with-the-dragon-tattoo-millennium-series.pdf http://eprints.ums.ac.id/31771/4/CHAPTER_I.pdf
63	Animal Farm	George Orwell	http://www.arvindguptatoys.com/arvindgupta/orwellanimalfarm.pdf https://www.penguin.com/static/pdf/teachersguides/animalfarm.pdf https://people.unica.it/michelagiordano/files/2012/04/Animal-Farm-plot-summary.pdf
64	Of Mice and Men	John Steinbeck	http://giove.isti.cnr.it/demo/eread/Libri/sad/OfMiceAndMen.pdf https://www.penguin.com/static/pdf/teachersguides/ofmiceandmen.pdf http://www2.le.ac.uk/offices/english-association/schools/resources-for-trainee-teachers-and-nqts/Of%20Mice%20and%20Men%2063.3.pdf
65	Quantum Roots	Kyle Keyes	https://iayyyl-97fae.web.app/quantum-roots.pdf http://semanticscholars.co/quantum_roots_iiworm_holes_volume_2.pdf https://defoa.bensonheating.co.uk/e425a0/quantum-roots-iiworm-holes-volume-2.pdf
